keyword,using top 1,using top 3,using weight > 50,all
veel,Africa_Europe,Americas,Americas,Americas
seguindo,Americas,Americas,Americas,Americas
camisa,Americas,Americas,Americas,Americas
niya,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vais,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
niyo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
pensei,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
beijo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ajudar,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
очень,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
chile,Americas,Americas,Americas,Americas
suas,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
udah,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fiquei,Americas,Africa_Europe,Africa_Europe,Africa_Europe
fotos,Americas,Americas,Americas,Americas
mujeres,Americas,Americas,Americas,Americas
buscando,Americas,Americas,Americas,Americas
closet,Americas,Americas,Americas,Americas
algum,Americas,Americas,Americas,Africa_Europe
@pmoindia,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
rushing,Americas,Americas,Americas,Americas
hai,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
hal,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
hay,Asia_Australia,Asia_Australia,Asia_Australia,Americas
sofrimento,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@thehill,Americas,Americas,Americas,Americas
felicitaciones,Africa_Europe,Americas,Americas,Americas
ninguna,Americas,Americas,Americas,Americas
भगव,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
creen,Americas,Americas,Americas,Americas
attorney,Americas,Americas,Americas,Americas
crowd,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
meer,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
55555,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
creer,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ansiosa,Americas,Americas,Americas,Americas
muito,Americas,Africa_Europe,Africa_Europe,Africa_Europe
uma,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
foi,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
muita,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
retiro,Americas,Americas,Americas,Americas
kkkkkkkkkkkk,Americas,Americas,Americas,Americas
было,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
crianças,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
jajajaja,Americas,Americas,Americas,Americas
kurang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
maconha,Americas,Americas,Americas,Americas
información,Americas,Americas,Americas,Americas
sos,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
sou,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
soy,Americas,Americas,Americas,Americas
novo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
tamo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
nova,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
humanos,Americas,Americas,Americas,Americas
rolê,Americas,Americas,Americas,Americas
vontade,Americas,Africa_Europe,Africa_Europe,Africa_Europe
talento,Americas,Americas,Americas,Americas
seguir,Americas,Americas,Americas,Americas
países,Africa_Europe,Africa_Europe,Africa_Europe,Americas
saja,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
meninos,Americas,Africa_Europe,Americas,Africa_Europe
peso,Americas,Asia_Australia,Americas,Americas
pesos,Americas,Americas,Americas,Americas
saygı,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
caralho,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
leer,Americas,Americas,Americas,Americas
sampe,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
rola,Americas,Americas,Americas,Africa_Europe
domingo,Americas,Americas,Americas,Americas
perguntando,Americas,Americas,Americas,Americas
puse,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
pior,Americas,Africa_Europe,Americas,Africa_Europe
puso,Asia_Australia,Asia_Australia,Asia_Australia,Americas
maldita,Americas,Americas,Americas,Americas
entrevista,Africa_Europe,Africa_Europe,Americas,Americas
maldito,Americas,Americas,Americas,Americas
corpo,Americas,Africa_Europe,Africa_Europe,Africa_Europe
diciembre,Americas,Americas,Americas,Americas
ver,Americas,Americas,Americas,Americas
vez,Americas,Americas,Americas,Americas
pelo,Americas,Americas,Americas,Americas
decir,Americas,Americas,Americas,Americas
ven,Americas,Americas,Americas,Americas
veo,Americas,Americas,Americas,Americas
vem,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
vei,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
saindo,Americas,Americas,Americas,Americas
caos,Americas,Americas,Americas,Americas
tangina,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
irmão,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
querem,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
querer,Africa_Europe,Africa_Europe,Africa_Europe,Americas
@gop,Americas,Americas,Americas,Americas
boca,Americas,Americas,Americas,Americas
pienso,Africa_Europe,Americas,Americas,Americas
cumpleaños,Americas,Americas,Americas,Americas
voltei,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
trop,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
juro,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
oleh,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
يبارك,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
cabelo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
तरह,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
positivo,Americas,Americas,Americas,Americas
filme,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
papai,Americas,Americas,Americas,Africa_Europe
oregon,Americas,Americas,Americas,Americas
brincadeira,Americas,Americas,Americas,Africa_Europe
pretend,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
abortion,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
bersama,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
wird,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
problemas,Americas,Americas,Americas,Americas
tenés,Americas,Americas,Americas,Americas
tirar,Americas,Africa_Europe,Africa_Europe,Africa_Europe
justo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
raiva,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
bastante,Americas,Americas,Americas,Americas
colocar,Americas,Africa_Europe,Africa_Europe,Americas
llega,Americas,Americas,Americas,Americas
llego,Americas,Americas,Americas,Americas
atas,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
pulled,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
anterior,Americas,Americas,Americas,Americas
colorado,Americas,Americas,Americas,Americas
jio,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
بہت,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
temen,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
mañana,Americas,Americas,Americas,Americas
могу,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
paling,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
ódio,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
coba,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
uber,Americas,Americas,Americas,Africa_Europe
tienen,Americas,Americas,Americas,Americas
huevos,Africa_Europe,Americas,Americas,Americas
foda-se,Americas,Americas,Americas,Americas
brasil,Americas,Americas,Americas,Americas
sede,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
apaixonado,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
voto,Americas,Americas,Americas,Americas
jajajajajajaja,Americas,Americas,Americas,Americas
ons,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
están,Americas,Americas,Americas,Americas
fml,Americas,Americas,Americas,Africa_Europe
estás,Americas,Americas,Americas,Americas
setiap,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
cerebro,Americas,Americas,Americas,Americas
ridiculous,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
beber,Africa_Europe,Africa_Europe,Africa_Europe,Americas
rival,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
poder,Americas,Americas,Americas,Americas
favorito,Americas,Americas,Americas,Americas
futuro,Americas,Americas,Americas,Americas
sao,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
siendo,Americas,Americas,Americas,Americas
forças,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
noção,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
jaga,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
अपन,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
cualquier,Africa_Europe,Americas,Americas,Americas
merece,Africa_Europe,Africa_Europe,Africa_Europe,Americas
deixei,Americas,Africa_Europe,Africa_Europe,Africa_Europe
sala,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
gritando,Americas,Americas,Americas,Americas
federal,Americas,Americas,Americas,Americas
dolor,Americas,Americas,Americas,Americas
miércoles,Americas,Americas,Americas,Americas
puntos,Americas,Americas,Americas,Americas
olha,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
करन,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
olho,Americas,Americas,Americas,Africa_Europe
mince,Asia_Australia,Asia_Australia,Africa_Europe,Africa_Europe
elas,Americas,Africa_Europe,Africa_Europe,Africa_Europe
eylesin,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
rapaziada,Americas,Americas,Americas,Americas
करक,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
کچھ,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fotoğraf,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
mané,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
época,Africa_Europe,Africa_Europe,Americas,Americas
خان,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
espn,Americas,Americas,Americas,Americas
temporada,Africa_Europe,Africa_Europe,Africa_Europe,Americas
yağmur,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
mana,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
mano,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
sabendo,Americas,Africa_Europe,Americas,Africa_Europe
siii,Americas,Americas,Americas,Americas
nooooo,Americas,Americas,Americas,Americas
boas,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@lopezobrador_,Americas,Americas,Americas,Americas
pessoa,Americas,Africa_Europe,Africa_Europe,Africa_Europe
tomei,Americas,Africa_Europe,Africa_Europe,Africa_Europe
personas,Americas,Americas,Americas,Americas
takut,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
bonjour,Africa_Europe,Americas,Africa_Europe,Africa_Europe
título,Africa_Europe,Africa_Europe,Africa_Europe,Americas
теперь,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
ingat,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
fama,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
desejo,Americas,Africa_Europe,Africa_Europe,Africa_Europe
droga,Africa_Europe,Africa_Europe,Africa_Europe,Americas
trump's,Americas,Americas,Americas,Americas
wpp,Americas,Americas,Americas,Americas
harris,Americas,Americas,Americas,Africa_Europe
oportunidade,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
aniversário,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
posta,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
costa,Americas,Americas,Americas,Americas
ilgili,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
nothin,Africa_Europe,Americas,Africa_Europe,Africa_Europe
@mmpadellan,Americas,Americas,Americas,Americas
nesse,Americas,Americas,Americas,Africa_Europe
nessa,Americas,Americas,Americas,Africa_Europe
когда,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
rooting,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
vamo,Americas,Americas,Americas,Americas
processo,Americas,Africa_Europe,Africa_Europe,Africa_Europe
verdad,Americas,Americas,Americas,Americas
cari,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
simplemente,Americas,Americas,Americas,Americas
betul,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
aborto,Africa_Europe,Americas,Africa_Europe,Americas
hacemos,Americas,Americas,Americas,Americas
panjang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
aiai,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
dari,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
acá,Americas,Americas,Americas,Americas
enero,Americas,Americas,Americas,Americas
conheço,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
además,Americas,Americas,Americas,Americas
dictadura,Americas,Americas,Americas,Americas
tava,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
hoje,Americas,Africa_Europe,Africa_Europe,Africa_Europe
ouro,Americas,Africa_Europe,Africa_Europe,Africa_Europe
mandando,Americas,Americas,Americas,Americas
feia,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
favorita,Americas,Americas,Americas,Americas
película,Americas,Americas,Americas,Americas
makan,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
ayuda,Americas,Americas,Americas,Americas
het,Africa_Europe,Africa_Europe,Americas,Americas
cerveja,Americas,Americas,Americas,Africa_Europe
lmfaooo,Americas,Americas,Americas,Americas
heb,Africa_Europe,Americas,Americas,Americas
bunda,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
completo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@repswalwell,Americas,Americas,Americas,Americas
nasci,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
keine,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
mundo,Africa_Europe,Africa_Europe,Africa_Europe,Americas
kuch,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
estão,Americas,Africa_Europe,Africa_Europe,Africa_Europe
тоже,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
langsung,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
koi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
pedir,Africa_Europe,Africa_Europe,Africa_Europe,Americas
congress,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
terra,Americas,Africa_Europe,Africa_Europe,Africa_Europe
posible,Americas,Americas,Americas,Americas
masa,Asia_Australia,Africa_Europe,Africa_Europe,Americas
uit,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
saison,Americas,Americas,Africa_Europe,Africa_Europe
jaja,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
muero,Americas,Americas,Americas,Americas
pasó,Americas,Americas,Americas,Americas
ataque,Africa_Europe,Americas,Americas,Americas
mudou,Americas,Africa_Europe,Africa_Europe,Africa_Europe
rapaz,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
morrendo,Americas,Americas,Americas,Americas
tristeza,Americas,Americas,Americas,Americas
coração,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
peor,Americas,Americas,Americas,Americas
bagaimana,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
larga,Africa_Europe,Americas,Americas,Americas
largo,Americas,Americas,Americas,Americas
pase,Americas,Americas,Americas,Americas
pasa,Americas,Americas,Americas,Americas
@rahulgandhi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
paso,Americas,Americas,Americas,Americas
hice,Americas,Americas,Americas,Americas
rasanya,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
tanya,Asia_Australia,Africa_Europe,Asia_Australia,Africa_Europe
deles,Americas,Africa_Europe,Africa_Europe,Africa_Europe
súper,Americas,Americas,Americas,Americas
hasn,Asia_Australia,Africa_Europe,Africa_Europe,Africa_Europe
esses,Americas,Americas,Americas,Americas
pico,Americas,Americas,Americas,Americas
sobrang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vie,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
vim,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
vir,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
entrar,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
viu,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
corte,Africa_Europe,Africa_Europe,Africa_Europe,Americas
objetivo,Africa_Europe,Africa_Europe,Americas,Americas
diferente,Americas,Americas,Americas,Americas
moro,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
kkkkkkkkkk,Americas,Americas,Americas,Africa_Europe
mora,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
duda,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
datang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
visão,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
раз,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
شقق,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
klo,Asia_Australia,Africa_Europe,Africa_Europe,Africa_Europe
pecho,Americas,Americas,Americas,Americas
ponto,Americas,Americas,Americas,Africa_Europe
states,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
biden,Americas,Americas,Americas,Africa_Europe
خزانات,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
lejos,Americas,Americas,Americas,Americas
hugo,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
att,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
voltar,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
browns,Asia_Australia,Americas,Asia_Australia,Americas
golpe,Americas,Americas,Americas,Americas
não,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ise,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
ito,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
signo,Africa_Europe,Africa_Europe,Africa_Europe,Americas
papel,Africa_Europe,Africa_Europe,Americas,Americas
pang,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
itu,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
digan,Americas,Americas,Americas,Americas
alle,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
pronta,Americas,Americas,Americas,Americas
pronto,Americas,Americas,Americas,Americas
buscar,Americas,Americas,Americas,Americas
nossos,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
aula,Africa_Europe,Africa_Europe,Americas,Americas
personne,Americas,Americas,Africa_Europe,Africa_Europe
dedi,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
consigo,Americas,Americas,Americas,Americas
dedo,Americas,Americas,Americas,Americas
odio,Americas,Americas,Americas,Americas
subir,Americas,Americas,Americas,Americas
aceito,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
nossa,Americas,Africa_Europe,Africa_Europe,Africa_Europe
nosso,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
für,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
allá,Americas,Americas,Americas,Americas
votos,Americas,Americas,Americas,Americas
vídeos,Africa_Europe,Africa_Europe,Africa_Europe,Americas
rsrs,Americas,Americas,Americas,Americas
imagina,Americas,Americas,Americas,Americas
imagino,Americas,Americas,Americas,Americas
tenha,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
precisando,Americas,Americas,Americas,Americas
ídolo,Africa_Europe,Africa_Europe,Americas,Americas
nome,Americas,Africa_Europe,Africa_Europe,Africa_Europe
